[mut 400K rep1] equilibrating 100 ps at 400.0 K...
[mut 400K rep1] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
32.1%,16050000,-582036.618723962,401.22338731707345,691,2:21:38
32.2%,16100000,-583385.0623588753,401.0862640681782,691,2:21:26
32.3%,16150000,-583399.5940703,397.7826816231985,691,2:21:14
32.4%,16200000,-582974.855355904,403.7988690372632,691,2:21:01
32.5%,16250000,-584764.9989928831,396.3207499170536,691,2:20:49
32.6%,16300000,-582724.3829525243,403.271640665654,691,2:20:37
32.7%,16350000,-583149.0901702554,401.60046505962794,691,2:20:24
32.8%,16400000,-581480.3101453101,396.6988573150846,691,2:20:12
32.9%,16450000,-582163.2760023372,399.41204426335196,691,2:20:00
33.0%,16500000,-583015.6931317495,403.84529306896553,691,2:19:47
33.1%,16550000,-582761.2329015322,401.4551045669205,691,2:19:35
33.2%,16600000,-582683.0123314923,400.2202342771636,691,2:19:22
33.3%,16650000,-581586.8931682454,401.98367596741207,691,2:19:10
33.4%,16700000,-581582.9037124938,398.52412310155387,691,2:18:57
33.5%,16750000,-583136.0349169597,399.55771812946523,691,2:18:45
33.6%,16800000,-582542.0216804394,397.9426811307243,691,2:18:32
33.7%,16850000,-581943.2679181187,402.6456101359281,691,2:18:20
33.8%,16900000,-582947.0907878093,400.4403567109925,691,2:18:07
33.9%,16950000,-580248.2414890244,402.3216715694881,691,2:17:55
34.0%,17000000,-584117.5663959221,400.8795719231736,691,2:17:43
34.1%,17050000,-583094.5706461417,396.1248915383672,691,2:17:30
34.2%,17100000,-582398.6621219283,399.02408798684985,691,2:17:17
34.3%,17150000,-582031.6474322192,398.553222060673,691,2:17:05
34.4%,17200000,-582238.9540749104,400.2007603583685,691,2:16:52
34.5%,17250000,-582100.3397046844,399.1660013720924,691,2:16:40
34.6%,17300000,-583371.0106908944,400.99350554003234,691,2:16:27
34.7%,17350000,-583014.0070429542,401.1695318588884,691,2:16:15
34.8%,17400000,-583684.8160068095,399.1017150562538,691,2:16:03
34.9%,17450000,-582402.8498093574,401.0417650445407,691,2:15:50
35.0%,17500000,-580504.8189161927,399.06831840471096,691,2:15:37
35.1%,17550000,-583864.0092872265,399.9253499022133,691,2:15:25
35.2%,17600000,-582377.9587218072,399.08586731544125,691,2:15:12
35.3%,17650000,-583882.4740774129,397.9106722756933,691,2:15:00
35.4%,17700000,-581177.779892358,399.90507016608876,691,2:14:48
35.5%,17750000,-581589.9886133065,399.2035166455413,691,2:14:35
35.6%,17800000,-582958.4884324428,400.4133170628264,691,2:14:23
35.7%,17850000,-582784.6749205063,400.4530707177461,691,2:14:10
35.8%,17900000,-582195.9640672966,401.01768005991596,691,2:13:58
35.9%,17950000,-583415.9643069627,399.2715634422507,691,2:13:45
36.0%,18000000,-582937.5473654163,401.21371750912,691,2:13:33
36.1%,18050000,-583012.5862450032,403.67459409800983,691,2:13:20
36.2%,18100000,-581978.1193547565,401.41906662524224,691,2:13:08
36.3%,18150000,-582093.954236662,399.194831725435,691,2:12:56
36.4%,18200000,-584037.1431929171,399.60087412422035,691,2:12:43
36.5%,18250000,-583367.8979297536,396.6241401415926,691,2:12:31
36.6%,18300000,-585367.0081700115,401.01579981948055,691,2:12:18
36.7%,18350000,-582976.4284505704,400.78802212102187,691,2:12:06
36.8%,18400000,-582646.8495922382,400.75480453999666,691,2:11:53
36.9%,18450000,-585173.2078511375,401.90013957092555,691,2:11:41
37.0%,18500000,-582221.4387408877,401.6054790341223,691,2:11:29
37.1%,18550000,-582624.77508807,399.8412762941738,691,2:11:16
37.2%,18600000,-582502.8102522241,400.8174792211763,691,2:11:03
37.3%,18650000,-582048.7998997984,400.9072830857809,691,2:10:51
37.4%,18700000,-581363.1519712857,401.21506053800243,691,2:10:38
37.5%,18750000,-581900.4774853415,401.0170085454747,691,2:10:26
37.6%,18800000,-582172.6116512194,402.55159811415865,691,2:10:13
37.7%,18850000,-581586.0099794064,402.4383360117411,691,2:10:01
37.8%,18900000,-582574.4178580502,400.8129576906055,691,2:09:49
37.9%,18950000,-582297.3988494477,405.01923461508994,691,2:09:36
38.0%,19000000,-581658.5455942834,402.6622636940701,691,2:09:24
38.1%,19050000,-582480.3453277824,401.61940176687006,691,2:09:11
38.2%,19100000,-582638.8365581874,401.1888714747952,691,2:08:59
38.3%,19150000,-581439.6555298036,399.03742874041524,691,2:08:46
38.4%,19200000,-582349.8056386961,401.6763909591141,691,2:08:34
38.5%,19250000,-581835.385265592,402.20070943481136,691,2:08:22
38.6%,19300000,-582037.4001119873,401.00241429828577,691,2:08:09
38.7%,19350000,-583370.3864860022,401.62795238408813,691,2:07:56
38.8%,19400000,-582268.874244519,398.952415012158,691,2:07:44
38.9%,19450000,-581544.4502480463,402.84124467646745,691,2:07:32
39.0%,19500000,-581430.3495700792,404.63982895580597,691,2:07:19
39.1%,19550000,-583235.6676665465,400.85544217091945,691,2:07:07
39.2%,19600000,-583120.1389227961,398.3742410782757,691,2:06:54
39.3%,19650000,-580920.2636050619,401.88715695839545,691,2:06:42
39.4%,19700000,-581552.070310195,400.16969162355514,691,2:06:30
39.5%,19750000,-582150.9031067705,400.4163164939971,691,2:06:17
39.6%,19800000,-582181.2584120021,401.5679637606733,691,2:06:05
